Symbol,Volume,Market Cap,P/E Ratio
MMM,3586087,51840475136,N/A
AOS,966103,10642403328,35.60199
ABT,5261390,166383992832,32.598637
ABBV,4362595,249613369344,38.745205
ACN,1868931,196909334528,29.080706
ADM,2639139,38888808448,10.140473
ADBE,2621890,256634388480,50.688847
ADP,1476025,90289922048,26.07729
AES,8477589,11243071488,N/A
AFL,2355079,48053571584,10.791339
A,1973607,31897835520,28.539267
ABNB,6649982,78396153856,14.919707
APD,712554,65134088192,29.948929
AKAM,1768070,16460859392,35.573772
ALK,2018637,4269637632,27.064518
ALB,2271103,15018836992,4.5366893
ARE,1077123,17780658176,74.14493
ALGN,819481,15110812672,41.91932
ALLE,723814,8944678912,16.121836
LNT,1637378,12913940480,19.578545
ALL,1699925,34472030208,N/A
GOOGL,27174834,1622128590848,24.779272
GOOG,21229046,1624201494528,24.975096
MO,8103842,71930994688,8.299999
AMZN,54487764,1432292425728,72.56545
AMCR,7346959,13167047680,14.015385
AMD,56674023,181358952448,1020.4545
AEE,1516579,20628502528,18.386417
AAL,30758320,7829420544,5.012552
AEP,3278198,41922834432,18.284403
AXP,2951070,111323234304,14.316775
AIG,2939085,44911206400,9.716464
AMT,2076403,88837062656,127.89933
AWK,1116007,25319436288,26.867765
AMP,437617,34044035072,15.260909
AME,925209,33165815808,26.032608
AMGN,2553151,144423124992,19.207117
APH,2363501,50718736384,27.345161
ADI,3300789,83676880896,22.846258
ANSS,457443,24996777984,51.938625
AON,719385,64725827584,24.546698
APA,3810929,12278308864,8.188524
AAPL,59671325,2761781149696,29.589615
AMAT,5420832,116905631744,18.436676
APTV,1899571,21918859264,23.484848
ACGL,1718364,31918706688,11.03871
ANET,2192096,66105638912,35.35607
AJG,735812,52321714176,46.512478
AIZ,327410,8669211648,16.632757
T,37695781,113542316032,N/A
ATO,836464,16552028160,19.18933
ADSK,1251067,43603578880,50.74129
AZO,132526,45398667264,19.446636
AVB,650645,24329838592,26.036476
AVY,444959,14595492864,30.511786
AXON,536598,16241609728,160.92592
BKR,6410400,35655561216,21.071856
BALL,2050803,16137322496,20.406376
BAC,44058315,224908214272,7.9607844
BBWI,3333759,7410346496,10.79139
BAX,4749982,17228722176,73.82608
BDX,1112937,75112120320,46.819168
WRB,1108035,17480660992,13.685483
BRK.B,3096046,767747883008,8.872888
BBY,2189206,14623097856,11.584483
BIO,196807,8347656704,N/A
TECH,971237,9291852800,38.63158
BIIB,856440,36133339136,13.611566
BLK,589673,97971732480,18.394464
BX,6191628,122838687744,42.21757
BK,4409206,35239886848,10.59719
BA,5006225,118000771072,N/A
BKNG,262792,102035079168,25.048191
BWA,1989800,7841701888,8.237037
BXP,1440050,9245277184,13.926714
BSX,8392057,76955394048,64.060974
BMY,12058967,107476017152,13.406091
AVGO,2216356,364312920064,27.159384
BR,523403,20837636096,31.460033
BRO,1233446,20072697856,26.81749
BF.B,1438217,28807313408,37.452827
BG,1131967,15409245184,8.208978
CHRW,998031,9511248896,24.312502
CDNS,1251939,67890352128,70.892044
CZR,2719682,9577569280,13.536586
CPT,777968,9670249472,44.39706
