Symbol,vec0,vec1,vec2,vec3,vec4
MMM,0.2456636130809784,0.7845467329025269,1.871211051940918,-0.8494338989257812,-0.13991157710552216
AOS,0.26278218626976013,0.7386030554771423,1.8613075017929077,-0.8556443452835083,-0.11960761994123459
ABT,0.2781158685684204,0.8291959166526794,1.9471626281738281,-0.9120305180549622,-0.1457684338092804
ABBV,0.26427409052848816,0.8052427768707275,1.95522141456604,-0.9118984937667847,-0.14979897439479828
ACN,0.25027552247047424,0.8193245530128479,1.8276715278625488,-0.8920131325721741,-0.09592581540346146
ADM,0.30761611461639404,0.8568913340568542,2.0593044757843018,-0.9400178790092468,-0.1647195965051651
ADBE,0.2906758487224579,0.7452350854873657,1.7143223285675049,-0.7425358295440674,-0.10013033449649811
ADP,0.2793639302253723,0.9035166501998901,1.9746183156967163,-0.9735310673713684,-0.21136616170406342
AES,0.2260630577802658,0.7305824756622314,1.6485062837600708,-0.7776434421539307,-0.12537160515785217
AFL,0.3160395324230194,0.9753855466842651,2.228283166885376,-1.0659565925598145,-0.16880542039871216
A,0.2416401356458664,0.6873934268951416,1.5758826732635498,-0.7301696538925171,-0.1407160460948944
ABNB,0.3264325261116028,1.0255016088485718,2.3093454837799072,-1.0436991453170776,-0.2325987070798874
APD,0.19863542914390564,0.7224297523498535,1.6217302083969116,-0.7286794185638428,-0.12438885867595673
AKAM,0.23384100198745728,0.6735319495201111,1.4764394760131836,-0.6676464676856995,-0.1104617789387703
ALK,0.2477446347475052,0.9622100591659546,2.0998361110687256,-1.0661925077438354,-0.17360319197177887
ALB,0.24584035575389862,0.8289703130722046,1.945807695388794,-0.9410853981971741,-0.10719634592533112
ARE,0.22147932648658752,0.7144817113876343,1.6763888597488403,-0.791546642780304,-0.1110040694475174
ALGN,0.2971546947956085,0.8558114767074585,2.011591672897339,-0.9152894616127014,-0.20232731103897095
ALLE,0.22650420665740967,0.755313515663147,1.7065492868423462,-0.7857084274291992,-0.09010203927755356
LNT,0.22237038612365723,0.776676595211029,1.7058947086334229,-0.7895511388778687,-0.1663677990436554
ALL,0.27425387501716614,0.8939152359962463,2.0375165939331055,-0.9540443420410156,-0.20648588240146637
GOOGL,0.22337208688259125,0.7539156079292297,1.6445820331573486,-0.7410625219345093,-0.12018123269081116
GOOG,0.22337208688259125,0.7539156079292297,1.6445820331573486,-0.7410625219345093,-0.12018123269081116
MO,0.29674845933914185,0.8809709548950195,2.0965168476104736,-0.9857355952262878,-0.14921768009662628
AMZN,0.2005854696035385,0.7369217872619629,1.5726665258407593,-0.720773458480835,-0.07665539532899857
AMCR,0.26967498660087585,0.7107284069061279,1.667579174041748,-0.7723806500434875,-0.15622170269489288
AMD,0.2561051845550537,0.7692611217498779,1.6923929452896118,-0.8124938011169434,-0.12958277761936188
AEE,0.09793999791145325,0.5615361928939819,1.140777826309204,-0.5312108993530273,-0.09821934998035431
AAL,0.2563440799713135,0.8790549039840698,1.9498414993286133,-0.9381076693534851,-0.16661836206912994
AEP,0.24705791473388672,0.793019711971283,1.872646450996399,-0.9035192728042603,-0.13041952252388
AXP,0.24379943311214447,0.8491438031196594,1.8906657695770264,-0.8947710394859314,-0.1369239091873169
AIG,0.2121431678533554,0.7313117980957031,1.5413670539855957,-0.7093806266784668,-0.08477084338665009
AMT,0.22507505118846893,0.827644407749176,1.9006102085113525,-0.8660769462585449,-0.11743426322937012
AWK,0.22943733632564545,0.7979364395141602,1.8283923864364624,-0.8787329196929932,-0.1356724202632904
AMP,0.3422758877277374,0.9344791769981384,2.1622116565704346,-1.0209282636642456,-0.13906067609786987
AME,0.24075055122375488,0.8121911287307739,1.8574979305267334,-0.9212464690208435,-0.12355999648571014
AMGN,0.2819554805755615,0.979414165019989,2.1907191276550293,-1.0606874227523804,-0.1695767194032669
APH,0.28365907073020935,0.7063980102539062,1.6735957860946655,-0.8229667544364929,-0.15867874026298523
ADI,0.2626018524169922,0.8523622155189514,1.9210543632507324,-0.9159521460533142,-0.1421901136636734
ANSS,0.29353800415992737,0.9107187986373901,2.0742714405059814,-0.9231029152870178,-0.13397590816020966
AON,0.19134896993637085,0.7221894264221191,1.5923125743865967,-0.7660972476005554,-0.10774853825569153
APA,0.344939261674881,1.0266021490097046,2.339360475540161,-1.0531100034713745,-0.2361735999584198
AAPL,0.2484474629163742,0.8379353284835815,1.878481149673462,-0.8634873032569885,-0.13901035487651825
AMAT,0.2834808826446533,0.7874374985694885,1.8075158596038818,-0.8370506763458252,-0.1178668737411499
APTV,0.23100334405899048,0.7880601286888123,1.767995834350586,-0.8058263659477234,-0.1580972671508789
ACGL,0.23497076332569122,0.8186691403388977,1.797775387763977,-0.8869304656982422,-0.131830096244812
ANET,0.26237332820892334,0.6912588477134705,1.6094781160354614,-0.7240977883338928,-0.16379505395889282
AJG,0.23251059651374817,0.8024389147758484,1.8098598718643188,-0.8707047700881958,-0.12106002867221832
AIZ,0.27810895442962646,0.7440295815467834,1.7694088220596313,-0.8648754954338074,-0.10816517472267151
T,0.23943065106868744,0.7796456217765808,1.8001054525375366,-0.8436723351478577,-0.13354939222335815
ATO,0.24313335120677948,0.8023683428764343,1.8412322998046875,-0.8965731859207153,-0.1317889541387558
ADSK,0.0,0.0,0.0,0.0,0.0
AZO,0.2620314657688141,0.9663143157958984,2.0782077312469482,-1.029489278793335,-0.18947851657867432
AVB,0.1812891662120819,0.7163931131362915,1.5823237895965576,-0.7556182742118835,-0.17313683032989502
AVY,0.2531256377696991,0.9011572599411011,2.037843942642212,-0.8968939781188965,-0.1549227237701416
