INTU,57.96,137110000
IP,45.42,11630000
IPG,11.81,10860000
IQV,30.98,32950000
IR,36.04,25070000
IRM,45.88,17410000
ISRG,63.64,95220000
IT,28.76,26160000
ITW,21.78,67570000
IVZ,9.98,5860000
J,22.44,16390000
JBHT,23.31,17840000
JCI,16.65,33870000
JKHY,27.96,10220000
JNJ,11.04,357990000
JNPR,23.81,8500000
JPM,8.29,403770000
K,20.24,27830
KDP,22.07,42590000
KEY,8.19,9500000
KEYS,19.17,21450000
KHC,12.58,39550000
KIM,25.49,11220000
KLAC,21.37,64769999
KMB,22.97,40370000
KMI,14.86,36340000
KMX,21.43,9760000
KO,22.66,243930000
KR,20.26,32650000
L,11.16,14690000
LDOS,19.76,13900000
LEN,8.25,31630000
LH,27.27,18070000
LHX,22.97,33870000
LIN,31.95,187620000
LKQ,12.11,11540000
LLY,77.12,526350000
LMT,16.53,112240000
LNC,N/A,3640000
LNT,18.89,12510000
LOW,18.84,110440000
LRCX,20.63,79950000
LUMN,N/A,988230
LUV,29.63,13240000
LVS,53.1,35720000
LW,13.15,13180000
LYB,12.88,29160000
LYV,75.15,18510000
MA,32.91,355990000
MAA,23.47,13720000
MAR,21.29,56310000
MAS,14.36,11830000
MCD,23.06,190910000
MCHP,16.44,38670000
MCK,17.14,62000000
MCO,38.06,57260000
MDLZ,22.13,90900000
MDT,26.14,94270000
MET,23.34,45110000
META,27.52,802440000
MGM,33.95,12270000
MHK,N/A,5190000
MKC,26.7,17200000
MKTX,32.97,8230000
MLM,28.82,27220000
MMC,27.38,93710000
MMM,N/A,50020000
MNST,38.12,54100000
MO,8.13,70570000
MOH,21,19640000
MOS,5.1,10730000
MPC,5.63,62060000
MPWR,49.46,21840000
MRK,57.14,260980000
MRNA,28.12,29000000
MRO,8.55,16410000
MS,12.72,117560000
MSCI,41.35,37320000
MSFT,33.5,2570000000
MSI,31.79,46830000
MTB,6.47,18610000
MTCH,17.86,8150000
MTD,24.37,21190000
MU,N/A,76200000
NCLH,N/A,5570000
NDAQ,21.84,23930000
NDSN,24.37,12060000
NEE,15.46,118290000
NEM,N/A,29610000
NFLX,41.94,183910000
NI,17.63,10490000
NKE,31.14,153530000
NLOK,11.65,9520000
NOC,15.36,70590000
NOW,76.89,121690000
NRG,N/A,10050000
NSC,20.85,43010000
NTAP,13.26,15320000
NTRS,12.69,13840000
NUE,7.51,36820000
NVDA,102.23,1050000000
NVR,11.7,18130000
NWL,N/A,2740000
NWS,79.59,12280000
NWSA,76.96,11870000
NXPI,16.32,44450000
O,35.82,34020000
ODFL,34.76,42690000
OGN,4.97,3750000
OKE,11.91,28890000
OMC,10.83,14740000
ON,13.07,28000000
ORCL,31.48,289740000
ORLY,25.16,56990000
OTIS,23.2,31430000
OXY,10.42,54290000
PARA,N/A,7030000
PAYC,27.65,9110000
PAYX,24.68,39320000
PCAR,10.62,43470000
PEAK,35.43,8530000
PEG,11.22,31120000
PENN,4.47,2960000
PEP,27.48,226670000
PFE,8.11,172260000
PFG,11.08,16260000
PG,24.29,352590000
PGR,34.62,93420000
PH,23.16,47610000
PHM,6.27,16649999
PKG,17.67,13810000
PLD,31.35,93840000
PM,17.29,138200000
PNC,7.87,45190000
PNR,19.19,9740000
PNW,21.11,8560000
POOL,23.1,12350000
PPG,20.59,28990000
PPL,23.75,18210000
PRU,30.44,33150000
PSA,22.23,42650000
PSX,7,51700000
PTC,54.04,16500000
PVH,24.82,4410000
PWR,40.75,23190000
PXD,10.14,55460000
PYPL,14.43,56720000
QCOM,14.51,121980000
QRVO,N/A,8600000
RCL,26.64,21840000
REG,28.34,10370000
REGN,20.92,85900000
RF,6.06,13650000
RHI,16.78,7920000
RJF,12.06,20050000
RL,14.25,7270000
RMD,23.89,21650000
ROK,21.78,30670000
ROL,44.84,18020000
ROP,17.82,52130000
ROST,24.57,39510000
RSG,28.77,46800000
RTX,38.22,118150000
SBAC,44.66,22510000
SBUX,27.85,104630000
SCHW,17.61,93500000
SEDG,14.66,4290000
SEE,11.36,4400000
SHW,25.58,61160000
SJM,N/A,11540000
SLB,19.33,79510000
SNA,14.14,13750000
SNPS,71.27,72310000
SO,24.18,74630000
SPG,16.67,36810000
SPGI,48.51,111760000
SRE,17.92,44540000
STE,174.48,21030000
STT,9.45,19980000
STX,N/A,14900000
STZ,28.53,43020000
SWK,N/A,13020000
SWKS,13.41,13880000
SYF,5.17,11580000
SYK,38.44,103350000
SYY,18.92,33100000
T,N/A,111310000
TAP,363.75,12580000
TDG,44.13,45710000
TDY,22.37,17410000
TECH,29.97,8359999
TEL,18.96,38570000
TER,27.13,12750000
TFC,7.18,37950000
TFX,24.07,8810000
TGT,15.05,50570000
TJX,25.83,100760000
TMO,28.9,170230000
TMUS,22.52,167750000
TPR,6.85,6050000
TRMB,29.68,10170000
TROW,12.96,20330000
TRV,18.32,38660000
TSCO,18.61,20730000
TSLA,66.13,653780000
TSN,50.51,16520000
TT,26.33,48770000
TTWO,N/A,22720000
TXN,18.59,130030000
TXT,16.38,14890000
TYL,95.83,15610000
UAL,4.04,11420000
UDR,22.93,10330000
UHS,13.15,8700000
ULTA,15.07,18480000
UNH,23.07,492410000
UNP,19.92,126530000
UPS,14.16,119520000
URI,11.87,27740000
USB,9.48,48850000
V,28.77,444090000
VFC,N/A,5090000
VICI,11.67,28840000
VLO,4.36,45110000
VMC,33.03,27080000
VNO,N/A,3700000
VRSK,67.15,32180000
VRSN,27.71,19860000
VRTX,28.52,95320000
VTR,225.17,17210000
VTRS,5.83,10700000
VZ,7.14,148800000
WAB,25.31,18960000
WAT,21.25,14240000
WBA,N/A,17820000
WBD,N/A,24570000
WDC,N/A,13530000
WEC,19.24,26040000
WELL,178.02,44330000
WFC,8.56,144960000
WHR,N/A,5730000
WM,29.03,66069999
WMB,15.93,42230000
WMT,31.71,443780000
WRB,13.69,17490000
WRK,N/A,9270000
WST,43.43,23810000
WTW,24.91,24310000
WY,33.03,20980000
WYNN,N/A,9910000
XEL,19.16,33409999
XOM,10.49,422780000
XRAY,N/A,6530000
XYL,50.26,22750000
YUM,24.56,34000000
ZBH,43.59,21950000
ZBRA,15.83,10160000
ZION,5.73,4600000
ZTS,31.82,69720000
