A,29840000
AAL,7230000
AAP,3050000
AAPL,2710000000
ABBV,252230000
ABT,165410000
ACN,188600000
ADBE,246520000
ADI,78600000
ADM,38200000
ADP,85760000
ADSK,42340000
AEE,20240000
AEP,39480000
AES,9950000
AFL,46870000
AIG,44170000
AIZ,8780000
AJG,51140000
AKAM,15760000
ALB,14260000
ALGN,13740000
ALK,3940000
ALL,33950000
ALLE,8620000
AMAT,112600000
AMCR,12560000
AMD,172840000
AME,32700000
AMGN,138180000
AMP,32439999
AMT,82940000
AMZN,1410000000
ANET,65390000
ANSS,23970000
AON,62320000
AOS,10550000
APA,12120000
APD,62680000
APH,48620000
APTV,23940000
ARE,15950000
ATO,16170000
ATVI,74290000
AVB,23130000
AVGO,349000000
AVY,13860000
AWK,23120000
AXP,106410000
AZO,44020000
BA,114260000
BAC,209390000
BALL,14870000
BAX,16530000
BBWI,6670000
BBY,14230000
BDX,73470000
BEN,11110000
BF.B,26780000
BIIB,34580000
BIO,8000000
BK,33590000
BKNG,98950000
BKR,35180000
BLK,91450000
BMY,104910000
BR,20070000
BRK.B,746670000
BRO,19590000
BSX,75480000
BWA,8650000
BXP,8310000
C,76940000
CAG,12920000
CAH,22930000
CARR,41550000
CAT,117780000
CB,90490000
CBRE,21280000
CCI,39970000
CCL,12570000
CDAY,9570000
CDNS,66470000
CDW,26440000
CE,12210000
CEG,36770000
CF,15340000
CFG,10950000
CHD,22220000
CHRW,9430000
CHTR,60820000
CI,91880000
CINF,15900000
CL,61840000
CLX,14330000
CMA,5140000
CMCSA,172180000
CME,76040000
CMG,54350000
CMI,30800000
CMS,15990000
CNC,37270000
CNP,17260000
COF,38140000
COO,15590000
COP,140110000
COST,246550000
CPB,12150000
CPRT,41680000
CPT,9010000
CRL,8470000
CRM,197150000
CSCO,211420000
CSX,58200000
CTAS,51700000
CTLT,5780000
CTRA,20880000
CTSH,32810000
CTVA,33900000
CVS,88440000
CVX,269390000
CZR,8400000
D,33650000
DAL,19990000
DD,30880000
DE,106540000
DFS,20530000
DG,25570000
DGX,14900000
DHI,36560000
DHR,140430000
DIS,147640000
DISH,2590000
DLR,37880000
DLTR,24370000
DOV,17900000
DOW,33600000
DPZ,11900000
DRI,17480000
DTE,20050000
DUK,69050000
DVA,7020000
DVN,29640000
DXC,4139999
DXCM,35900000
EA,33390000
EBAY,20460000
ECL,47790000
ED,30800000
EFX,20420000
EIX,24580000
EL,37480000
ELV,105110000
EMBC,869810
EMN,8790000
EMR,51190000
ENPH,10360000
EOG,72600000
EPAM,12460000
EQIX,69170000
EQR,20840000
ES,18550000
ESS,13330000
ETN,85460000
ETR,20720000
ETSY,7410000
EVRG,11480000
EW,38430000
EXC,39300000
EXPD,16210000
EXPE,13390000
EXR,21690000
F,39460000
FANG,28460000
FAST,33570000
FCX,48080000
FDS,16510000
FDX,61310000
FE,20800000
FFIV,8950000
FIS,29050000
FISV,71450000
FITB,16030000
FLT,16790000
FMC,6320000
FOX,13570000
FOXA,14840000
FRT,7430000
FTNT,44590000
FTV,22780000
GD,66400000
GE,116330000
GILD,99690000
GIS,38000000
GL,11000000
GLW,22660000
GM,38330000
GNRC,5860000
GOOG,1610000000
GOOGL,1590000000
GPC,17960000
GPN,28230000
GRMN,21540000
GS,101150000
GWW,36910000
HAL,35220000
HAS,6410000
HBAN,13840000
HCA,60210000
HD,284930000
HES,43930000
HIG,22150000
HII,8800000
HLT,38580000
HOLX,16250000
HON,121320000
HPE,19870000
HPQ,26150000
HRL,17810000
HSIC,8330000
HST,11030000
HSY,38650000
HUM,61030000
HWM,18300000
IBM,132310000
ICE,60570000
IDXX,32360000
IEX,14030000
IFF,17190000
ILMN,16820000
INCY,12160000
INTC,156330000
INTU,136370000
IP,11630000
IPG,10770000
IQV,32799999
IR,24770000
IRM,17280000
ISRG,94770000
IT,26160000
ITW,67370000
IVZ,5810000
J,16219999
JBHT,17700000
JCI,33810000
JKHY,10190000
JNJ,359290000
JNPR,8510000
JPM,404060000
K,27860
KDP,42620000
KEY,9390000
KEYS,21260000
