Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility
MAR,0.01573729965890047,0.020658157863913323,0.049294302761664015,0.3163338005542755,1.0485517978668213,2.349689483642578,-1.0895936489105225,-0.231821209192276,0.2117
AXP,0.02519507104918342,0.040308492335192375,0.0698481326974825,0.24379943311214447,0.8491438031196594,1.8906657695770264,-0.8947710394859314,-0.1369239091873169,0.211
GL,0.004341807743338273,0.003997780311164527,0.07972003598881304,0.3137173354625702,1.0072213411331177,2.2120349407196045,-1.0350580215454102,-0.17197196185588837,0.1514
HUM,0.00848930812629256,0.02126351662529962,0.05066979900608149,0.340955913066864,1.0843428373336792,2.4261474609375,-1.1313084363937378,-0.15960454940795898,0.2087
A,0.016849877701364504,0.011549733230495515,0.035039442323448605,0.2416401356458664,0.6873934268951416,1.5758826732635498,-0.7301696538925171,-0.1407160460948944,0.236
MAA,0.005635750136460815,0.005391700833948801,0.04023820858529661,0.16548746824264526,0.7293868064880371,1.6390997171401978,-0.8055625557899475,-0.14635644853115082,0.1941
BSX,0.07164807082305641,0.02786440701735935,0.015610127938423165,0.26662734150886536,0.7222985625267029,1.6547335386276245,-0.7642300724983215,-0.10965368151664734,0.2287
AJG,0.006282072475014741,0.018944916827229142,0.021499607051681916,0.23251059651374817,0.8024389147758484,1.8098598718643188,-0.8707047700881958,-0.12106002867221832,0.1548
FTV,0.016477211227408663,0.008392073569823298,0.03532979658516318,0.09444331377744675,0.34206974506378174,0.7962111830711365,-0.269106388092041,-0.08733722567558289,0.2365
TMO,0.013645569270535557,0.06354844552520707,0.03355763817986726,0.22992420196533203,0.7004721164703369,1.534234881401062,-0.7529909610748291,-0.09627756476402283,0.2221
NVR,0.00020291326658667614,0.006846597936292441,0.08068577095939981,0.26752912998199463,0.8778415322303772,1.984876275062561,-0.9268949627876282,-0.1801554411649704,0.2547
EXPD,0.009434369813991704,0.0060486199675302945,0.05940682052082673,0.22772693634033203,0.7952287197113037,1.824237585067749,-0.8275653719902039,-0.20707525312900543,0.1903
VRSK,0.007458383741489779,0.012107006895778302,0.023111613608950112,0.2133239209651947,0.7464911937713623,1.6641826629638672,-0.8020751476287842,-0.14414754509925842,0.155
NRG,0.024489489191827033,0.0037367786600817307,0,0.25128239393234253,0.7867546677589417,1.7370145320892334,-0.7785016894340515,-0.13613487780094147,0.2268
WMB,0.05081886648911521,0.015898928728959306,0.0631929022743252,0.25643017888069153,0.8000228404998779,1.7720013856887817,-0.7874270677566528,-0.12472241371870041,0.1639
CTRA,0.05099258114537133,0.007665882873568903,0.1415834480454228,0.27148720622062683,0.869132936000824,1.9588133096694946,-0.8848381638526917,-0.19783112406730652,0.2453
FICO,0.0015083216637074473,0.008374083556383792,0.017712621466737195,0.29779526591300964,0.8808003067970276,1.9379700422286987,-0.9071986675262451,-0.15603794157505035,0.2687
WST,0.0030138942184890346,0.008974841738900402,0.022119401413606705,0.021211599931120872,0.5135818719863892,0.7120497226715088,-0.4929496645927429,0.14571397006511688,0.2874
LH,0.007012985407473693,0.006462379894932864,0.04614213669930992,0.24539561569690704,0.7814350128173828,1.8341604471206665,-0.8610914349555969,-0.11684881150722504,0.16
MOH,0.00311684920152302,0.007123000477487288,0.04750615038375943,0.3151772618293762,0.8993822932243347,2.083505868911743,-1.004097819328308,-0.16193443536758423,0.2333
INVH,0.023105014031469032,0.007113332884527238,0.025336253252066454,0.23884184658527374,0.7019739747047424,1.670431137084961,-0.723471462726593,-0.15442046523094177,0.1945
UNH,0.022958816077287593,0.17806456571627033,0.043416835485795315,0.2875654101371765,0.975069522857666,2.257449150085449,-1.0482901334762573,-0.18402670323848724,0.2056
HPQ,0.06645836787861902,0.009811905347743727,0.08497446644744953,0.28382936120033264,0.872428297996521,1.9231338500976562,-0.9203340411186218,-0.15207539498806,0.2409
PNR,0.009719636821879136,0.003689296815253282,0.05012978350300009,0.19237913191318512,0.7041203379631042,1.6945997476577759,-0.7895624041557312,-0.1346820592880249,0.2404
