Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility
MS,0.101944856,0.891134197,0.073318416,0.240704477,0.871006787,1.954246998,-0.980092943,-0.144150257,0.2489
FANG,0.225735427,0.83903052,0.112008724,0.274227053,0.897094369,2.018333912,-0.982861459,-0.218868583,0.2304
AMAT,0.136293424,0.889797697,0.053040285,0.283480883,0.787437499,1.80751586,-0.837050676,-0.117866874,0.3204
AON,0.073368049,0.868537371,0.040361484,0.19134897,0.722189426,1.592312574,-0.766097248,-0.107748538,0.181
T,0.109002007,0.887170621,0,0.239430651,0.779645622,1.800105453,-0.843672335,-0.133549392,0.311
WBD,0.159783002,0.83186545,0,0.245674461,0.760121763,1.719096899,-0.823078036,-0.155552939,0.4624
TECH,0.131750061,0.800364022,0.02624851,0.313880622,0.920527279,1.896309733,-0.907901645,-0.177524328,0.2706
EQR,0.091149102,0.828933916,0.03124429,0.12816456,0.645566583,1.451538205,-0.703965068,-0.181361809,0.1731
ROK,0.146453466,0.840869788,0.046165215,0.340371311,1.065608144,2.176528692,-1.06281054,-0.139750034,0.2687
LUV,0.245076553,0.815429702,0.033764069,0.184136584,0.776507139,1.794634461,-0.893212497,-0.135076314,0.3006
ESS,0.128823549,0.815191955,0.038125947,0.148822546,0.644155562,1.558235526,-0.750766695,-0.15817143,0.1925
RCL,0.245335654,0.834131933,0.035317544,-0.035806347,0.370386213,0.845210135,-0.547421873,0.04833119,0.32
NTAP,0.175835052,0.819065778,0.072588099,0.258242011,0.925581336,2.020649433,-0.934018075,-0.197313771,0.1629
HBAN,0.20055654,0.817298989,0.144787652,0.316516578,1.075177908,2.49100709,-1.228162527,-0.225601301,0.2594
PARA,0.40683937,0.794061322,0,0.260950416,0.784184456,1.75898838,-0.824709892,-0.101113841,0.4192
EXR,0.140823449,0.835686155,0.05230743,0.172584981,0.718115687,1.734218717,-0.853347778,-0.134679019,0.2834
MDT,0.096539457,0.882062249,0.037233302,0.21636878,0.754665911,1.815406442,-0.86225611,-0.143458679,0.1933
COST,0.078893234,0.915370573,0.024974445,0.233218834,0.760841966,1.726467967,-0.846770823,-0.145762995,0.1485
SBAC,0.160342016,0.833359301,0.020588102,0.238929555,0.766151726,1.822831511,-0.856091022,-0.105946906,0.3215
BK,0.119234801,0.846536869,0.094062706,0.293767422,0.800622523,1.832878113,-0.909078419,-0.125837401,0.2339
MRK,0.053731734,0.917290056,0.017241378,0.283666313,0.932377338,2.063097477,-0.997539163,-0.173349023,0.1848
NDSN,0.077912938,0.81124671,0.038985654,0.299979776,0.873952687,1.997053862,-0.938785017,-0.155240342,0.1704
BX,0.182599875,0.88937808,0.024203308,0.234939039,0.829639554,1.899213672,-0.915334821,-0.146874458,0.3197
