Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility,Cluster
BG,0.155816676,0.81719636,0.124854014,0.313393772,1.013263345,2.325962305,-1.100429773,-0.238534242,0.2226,1
TSN,0.183030222,0.820263961,0.02028485,0.285569668,0.846179485,2.032338381,-0.972945988,-0.160909995,0.2141,1
NEE,0.145659685,0.888879509,0.065217393,0.230199173,0.907823324,2.057551384,-0.907208443,-0.144272223,0.348,1
AXON,0.147224211,0.821871441,0.005836746,0.320424706,0.986981273,2.189541101,-0.991152763,-0.13868314,0.3679,1
PKG,0.122296185,0.814811043,0.055594694,0.278063893,0.904551744,2.104671717,-0.993451416,-0.168886051,0.2344,1
CEG,0.112782604,0.851545008,0.041343457,0.292570949,1.030493498,2.330260515,-1.072289348,-0.16378732,0.2426,1
COR,0.146603286,0.850882025,0.043142438,0.365698278,0.941799462,2.141114235,-0.955845177,-0.2201024,0.1465,1
AZO,0.156493492,0.856757463,0.050752963,0.262031466,0.966314316,2.078207731,-1.029489279,-0.189478517,0.2111,1
EMR,0.101592124,0.86065549,0.060884951,0.327016175,1.033801079,2.267003536,-1.081037402,-0.196470171,0.1726,1
UNH,0.060640302,0.939177074,0.043280608,0.28756541,0.975069523,2.25744915,-1.048290133,-0.184026703,0.2056,1
FANG,0.225735427,0.83903052,0.112008724,0.274227053,0.897094369,2.018333912,-0.982861459,-0.218868583,0.2304,1
ROK,0.146453466,0.840869788,0.046165215,0.340371311,1.065608144,2.176528692,-1.06281054,-0.139750034,0.2687,1
NTAP,0.175835052,0.819065778,0.072588099,0.258242011,0.925581336,2.020649433,-0.934018075,-0.197313771,0.1629,1
HBAN,0.20055654,0.817298989,0.144787652,0.316516578,1.075177908,2.49100709,-1.228162527,-0.225601301,0.2594,1
LVS,0.12438872,0.849021942,0.017660503,0.258961201,0.868567526,1.988096356,-0.947568476,-0.139955789,0.2892,1
CHD,0.121108519,0.830186443,0.020311441,0.294692546,0.912638068,2.160095692,-1.010438919,-0.143208444,0.1702,1
TYL,0.10208321,0.822584055,0.008900864,0.252307981,0.958345711,2.023498297,-1.023670197,-0.125635937,0.2445,1
SYF,0.193456488,0.809886071,0.184174636,0.317674369,0.904118299,2.155857801,-1.006461859,-0.125720084,0.2636,1
LEN,0.184198402,0.845186188,0.113087363,0.251754791,0.888553321,2.042695761,-0.901313066,-0.146981612,0.2764,1
MTCH,0.346253076,0.795653494,0.062667561,0.295840055,0.966381431,2.232076645,-1.057255983,-0.170123085,0.33,1
PRU,0.083260454,0.84473286,0.03859301,0.272676915,0.927534819,2.087243319,-1.0010252,-0.155578002,0.1916,1
PPL,0.16356157,0.825166945,0.041715401,0.309196949,1.026073694,2.288583279,-1.028873563,-0.24805887,0.1972,1
CBRE,0.113057924,0.831658662,0.025429461,0.238925681,0.970859945,2.157078505,-1.042441964,-0.172082648,0.248,1
ETN,0.109891384,0.878444235,0.034237131,0.273345083,0.912697017,2.056612015,-0.999678731,-0.11725577,0.2644,1
LYV,0.160697692,0.827317028,0.017409231,0.22961314,0.891005039,1.97726953,-0.966767073,-0.180977076,0.2554,1
KHC,0.131653955,0.852109721,0.072656022,0.30989778,0.933365405,2.197710991,-0.966415226,-0.16193299,0.1727,1
CAH,0.189991264,0.835194318,0.006062384,0.292190284,0.905691206,2.139243364,-0.989187121,-0.172226787,0.1745,1
IR,0.140277767,0.837249989,0.028160483,0.336785764,0.953357339,2.180398703,-1.01667583,-0.148228362,0.2151,1
PFG,0.097395531,0.820856738,0.090935421,0.304743379,1.036596179,2.33686471,-1.141874909,-0.156492069,0.2129,1
CPB,0.199015699,0.809502097,0.070275634,0.28062278,0.848235726,2.028526545,-0.974301934,-0.139753252,0.2044,1
HAL,0.155939467,0.846862962,0.073829049,0.253590792,0.898122251,2.189685583,-0.977192163,-0.174033672,0.3023,1
IDXX,0.11897451,0.847224253,0.022911649,0.262335747,0.862694383,2.035869837,-0.93363893,-0.184162199,0.2925,1
BAX,0.197856257,0.822301557,0.013215859,0.222518817,0.931353986,2.072139263,-0.958297908,-0.159203812,0.3265,1
MOS,0.219795593,0.806519951,0.191943848,0.253008395,0.993735075,2.19276619,-1.0238235,-0.197462916,0.341,1
DUK,0.090268012,0.870024413,0.053304665,0.269265562,0.950690806,2.175087929,-1.000528455,-0.143124476,0.1898,1
TXT,0.14166546,0.817173953,0.060415025,0.290235639,0.914597392,2.072128534,-0.959528565,-0.173611641,0.2702,1
C,0.187869794,0.875552231,0.150406503,0.310644597,0.98321259,2.186198711,-1.03479445,-0.181939274,0.2057,1
BIO,0.171718187,0.796883619,0.0,0.323532194,0.879045367,2.031059027,-0.950968266,-0.165462077,0.3058,1
AVY,0.115262788,0.815999163,0.032917204,0.253125638,0.90115726,2.037843943,-0.896893978,-0.154922724,0.1922,1
MO,0.095367316,0.87138195,0.121890542,0.296748459,0.880970955,2.096516848,-0.985735595,-0.14921768,0.194,1
MPWR,0.240202599,0.832992897,0.018683815,0.314248115,0.949094057,2.134102106,-1.03538835,-0.243526503,0.4158,1
PCAR,0.088148443,0.855631427,0.09042615,0.299175978,0.912871361,2.06954813,-0.947763443,-0.227259263,0.2127,1
MTB,0.118257821,0.826852161,0.145885709,0.303816885,0.881714225,2.004570723,-0.967874348,-0.142512426,0.2807,1
CE,0.199457828,0.812701634,0.095855588,0.314977169,0.961959898,2.170683384,-1.023292661,-0.165490925,0.2649,1
MET,0.102022044,0.854785996,0.0,0.31092003,0.891836643,2.042348385,-1.016590834,-0.147612676,0.212,1
ALL,0.13604513,0.845687032,0.0,0.274253875,0.893915236,2.037516594,-0.954044342,-0.206485882,0.3027,1
REGN,0.084534798,0.879532026,0.042513885,0.336507052,0.989952326,2.187141418,-1.011082292,-0.199539483,0.1877,1
TTWO,0.158942394,0.834011507,0.0,0.299602807,0.967599988,2.078366518,-1.019487619,-0.151493415,0.2317,1
K,0.172531153,0.823359977,0.04770148,0.284208447,0.854743779,2.021299124,-0.954292297,-0.180040643,0.1909,1
MOH,0.130322522,0.827764597,0.046108936,0.315177262,0.899382293,2.083505869,-1.004097819,-0.161934435,0.2333,1
KMI,0.12507425,0.848184201,0.066095474,0.276003003,0.924085021,2.283372402,-0.969941735,-0.119230658,0.1679,1
MNST,0.102787439,0.864306265,0.026410349,0.319031328,0.92370528,2.110629559,-0.889648795,-0.150741041,0.244,1
LYB,0.120750423,0.84121374,0.075726023,0.223726064,0.925211787,2.140206337,-1.031959534,-0.248991206,0.2114,1
NI,0.258265138,0.804396043,0.059647721,0.289189279,0.974096179,2.153797626,-1.034626245,-0.126122743,0.239,1
ADM,0.102444148,0.850108751,0.099264204,0.307616115,0.856891334,2.059304476,-0.940017879,-0.164719597,0.209,1
TSCO,0.225726827,0.830000995,0.05132832,0.295364559,0.90657115,2.01149416,-0.947948098,-0.223971546,0.2178,1
CL,0.109929696,0.866552607,0.025385433,0.261101723,0.899471104,2.101313591,-0.997820139,-0.161565945,0.1518,1
MAR,0.129026689,0.863377478,0.049797486,0.316333801,1.048551798,2.349689484,-1.089593649,-0.231821209,0.2117,1
VRSN,0.096368408,0.82871553,0.034289338,0.292934358,0.915044427,2.15316844,-1.002780676,-0.160063565,0.1973,1
ABNB,0.321464518,0.872468905,0.071647121,0.326432526,1.025501609,2.309345484,-1.043699145,-0.232598707,0.3423,1
GM,0.216576538,0.850120942,0.252177064,0.250561625,0.921343744,2.125782967,-1.027186275,-0.177787855,0.2638,1
OTIS,0.09720908,0.84487873,0.040692639,0.317530245,0.860271752,2.071390629,-0.915173531,-0.170889154,0.1612,1
DHI,0.166047626,0.85233518,0.118791567,0.301090717,0.959934056,2.28058815,-1.06889534,-0.240549728,0.2936,1
SYK,0.082389895,0.884980343,0.024310358,0.345370501,0.865605235,2.056110144,-0.974686503,-0.115157492,0.2387,1
HUM,0.170073389,0.865500986,0.050608279,0.340955913,1.084342837,2.426147461,-1.131308436,-0.159604549,0.2087,1
CBOE,0.141655486,0.824392913,0.037875741,0.279101282,0.872049332,2.078929186,-0.929017901,-0.199938774,0.1587,1
AFL,0.083339009,0.857055328,0.090388453,0.316039532,0.975385547,2.228283167,-1.065956593,-0.16880542,0.1646,1
ALK,0.332421428,0.773875601,0.059846704,0.247744635,0.962210059,2.099836111,-1.066192508,-0.173603192,0.2981,1
HSY,0.193872767,0.850135934,0.04909533,0.293102115,0.887032628,2.062734604,-0.948920608,-0.111744583,0.1688,1
STX,0.27861437,0.817310939,0.0,0.276018411,0.935194433,2.164263964,-0.990990162,-0.160982147,0.3721,1
LW,0.304166433,0.814156354,0.073010484,0.304828048,0.962264121,2.203477621,-0.981335819,-0.20567216,0.3227,1
OMC,0.14189662,0.817223864,0.090392498,0.311214596,0.954327047,2.128825665,-1.030117869,-0.135488823,0.2675,1
ANSS,0.109397584,0.834806179,0.019342023,0.293538004,0.910718799,2.074271441,-0.923102915,-0.133975908,0.2576,1
POOL,0.192670926,0.812040971,0.041938658,0.318452865,1.028220296,2.337269068,-1.01739645,-0.149187475,0.2739,1
WAB,0.089288776,0.82661856,0.03815609,0.319376796,0.956781328,2.181010485,-1.030631542,-0.203128532,0.2014,1
GL,0.112689725,0.805936861,0.080784319,0.313717335,1.007221341,2.212034941,-1.035058022,-0.171971962,0.1514,1
LLY,0.066206719,0.945012844,0.009012647,0.319000334,1.055601835,2.358482361,-1.084403515,-0.206910491,0.3397,1
IFF,0.178130261,0.824062847,0.000844832,0.260222316,0.953568637,2.08667326,-1.036491752,-0.215785384,0.458,1
HSIC,0.149282805,0.796385834,0.054233014,0.30739966,0.891096652,2.058376551,-0.900677264,-0.14221929,0.1715,1
EXC,0.11058579,0.851014918,0.05381506,0.249358237,0.966194928,2.244416714,-1.06361568,-0.156875238,0.1755,1
CAG,0.190348573,0.812855047,0.081081083,0.277761042,0.862336218,2.016335011,-0.919027865,-0.173523024,0.1921,1
GEN,0.110939084,0.810326596,0.119047619,0.322170913,0.978258729,2.082454443,-0.938290298,-0.179022253,0.2821,1
HPE,0.166087792,0.827812545,0.052096569,0.312607557,1.170211673,2.449208021,-1.193949223,-0.16280748,0.2666,1
WTW,0.132178108,0.833730457,0.040500702,0.290406138,0.929200411,1.994236231,-0.927695572,-0.164214313,0.2876,1
BF.B,0.098277217,0.83931975,0.027247956,0.340670735,0.976317704,2.101992607,-0.988720179,-0.142972246,0.2309,1
AMP,0.091243887,0.845273379,0.062405966,0.342275888,0.934479177,2.162211657,-1.020928264,-0.139060676,0.1946,1
BBWI,0.303909551,0.791427848,0.095569622,0.315820783,0.920050979,2.014185667,-0.974754691,-0.170290142,0.3598,1
KMB,0.104351848,0.85207761,0.042930546,0.276626676,0.870689332,2.061126471,-0.917818964,-0.136448637,0.1501,1
SWKS,0.208792354,0.814963636,0.069283279,0.303480715,1.056978583,2.308218241,-1.141874433,-0.238342643,0.2699,1
BMY,0.126925803,0.885831312,0.074399088,0.304873705,0.981212318,2.193560839,-1.076515675,-0.185984001,0.2035,1
JNPR,0.218443673,0.79806573,0.04099888,0.323925704,0.894334674,2.12022233,-0.929629028,-0.145437419,0.2643,1
AMGN,0.095096571,0.896737233,0.051086873,0.281955481,0.979414165,2.190719128,-1.060687423,-0.169576719,0.2251,1
TGT,0.219569686,0.85956896,0.066454257,0.270793051,0.928423822,2.029395342,-1.027528524,-0.189754009,0.2349,1
FMC,0.32203126,0.78943448,0.086417405,0.27737394,0.89939183,2.142758846,-0.981657863,-0.151416212,0.4153,1
VTRS,0.147199072,0.8067755,0.164858996,0.293771148,0.89988941,2.062772989,-0.958365381,-0.148646086,0.2402,1
SLB,0.114651173,0.875501309,0.051388629,0.31155923,1.07727325,2.510144472,-1.157063365,-0.223007634,0.2926,1
UHS,0.191992308,0.799129889,0.073676906,0.273800671,0.965839326,2.08351922,-1.001173735,-0.159117803,0.236,1
WY,0.097144076,0.831046861,0.028439154,0.257129192,0.913051605,2.124421597,-0.96605438,-0.180277795,0.1611,1
GRMN,0.074266316,0.831260825,0.046088903,0.282248974,0.992764652,2.222136736,-1.058778644,-0.195368901,0.1542,1
GE,0.087111835,0.890727388,0.084409313,0.296681255,0.913005352,2.052773714,-0.954092681,-0.182599127,0.2521,1
GPN,0.134267076,0.839998353,0.029489395,0.276646107,0.892884195,2.00012207,-0.914675236,-0.118074052,0.2881,1
KR,0.131643283,0.843068054,0.051059948,0.33061704,1.044596791,2.303604603,-1.104147196,-0.247487128,0.1792,1
D,0.146915617,0.849919293,0.045058772,0.256763697,0.963325679,2.264890194,-1.00298059,-0.210685402,0.2417,1
