Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility,Cluster
PGR,0.083614634,0.880642218,0.029128049,0.325592667,0.978608668,2.199971199,-1.017037511,-0.179722488,0.3735,1
MCO,0.072383838,0.86657481,0.024503291,0.310199857,1.004360557,2.194084644,-1.023696184,-0.140772477,0.1955,1
PHM,0.231643129,0.822692213,0.150079572,0.266910106,0.986329854,2.204286814,-1.026752353,-0.182660073,0.3286,1
INCY,0.15462295,0.809646421,0.034776174,0.306902379,0.957371414,2.204958677,-1.053958654,-0.174076766,0.2049,1
CDNS,0.095467134,0.87069112,0.013962559,0.293521136,0.921935678,2.048507452,-0.985540569,-0.177783862,0.2448,1
BALL,0.137370941,0.81909251,0.038007599,0.328647166,0.848909378,2.043007851,-0.940037012,-0.170258895,0.3105,1
APA,0.254529196,0.808200861,0.132116589,0.344939262,1.026602149,2.339360476,-1.053110003,-0.2361736,0.3488,1
DOW,0.12011163,0.846081682,0.03747412,0.231246665,0.942861557,2.096865416,-1.003437161,-0.176051602,0.2012,1
IP,0.164611062,0.808679029,0.064064362,0.263151705,1.140729785,2.547561646,-1.145633698,-0.294368804,0.2257,1
WM,0.074331737,0.870098118,0.033241321,0.371892482,0.937859237,2.094749451,-0.974375248,-0.111089811,0.1793,1
RF,0.20322936,0.815747263,0.156721315,0.319176257,0.91309762,2.014321089,-1.005330205,-0.147145733,0.3387,1
