Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility,Cluster
PODD,0.433652173,0.805707078,0.011292509,0.206543729,0.161440358,0.460832894,-0.239827007,-0.05004257,0.4424,4
RCL,0.245335654,0.834131933,0.035317544,-0.035806347,0.370386213,0.845210135,-0.547421873,0.04833119,0.32,4
WST,0.097568869,0.835941227,0.02134376,0.0212116,0.513581872,0.712049723,-0.492949665,0.14571397,0.2874,4
SEDG,0.956865131,0.771229562,0.053195991,0.187585741,0.387977928,0.798665822,-0.35735178,-0.085880794,0.7594,4
MKC,0.165457629,0.822542638,0.036753445,0.084019676,0.387374163,0.825208306,-0.355679274,-0.115230024,0.2563,4
FTV,0.117586198,0.832312027,0.035321099,0.094443314,0.342069745,0.796211183,-0.269106388,-0.087337226,0.2365,4
DRI,0.199610686,0.823173181,0.054242569,-0.065991096,0.344881326,0.792542517,-0.22175999,-0.101907618,0.1745,4
