Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility,Cluster
AAL,1.0,0.794509156,0.200666119,0.25634408,0.879054904,1.949841499,-0.938107669,-0.166618362,0.2996,2
NCLH,0.632439709,0.783461011,0.0,0.187467918,0.779889524,1.726691723,-0.831358552,-0.124576233,0.4396,2
AMD,0.721972078,0.904420139,0.000968395,0.256105185,0.769261122,1.692392945,-0.812493801,-0.129582778,0.3993,2
ENPH,0.654556068,0.804658941,0.052275681,0.273524463,0.814419389,1.853615642,-0.826657057,-0.163857326,0.5752,2
TSLA,0.771000932,0.951409115,0.014092117,0.241380468,0.839413762,1.941381574,-0.897266388,-0.1461467,0.5063,2
